Site,Project,Sample_Type,Treatment.type,Sample.ID,JGI.ID,GOLD.ID,Plot,Quad,Treatment,Replicate,Horizon,Year,Date_Sampled,Sampling_Weather,Time_period,Sample_Initials,DNA_RNA,Notes,Date_weighed_for_DNA,Sequence_depth,Sequence_bin,Total_Tree_BioMass,Total_Tree_Stem_Count,Total_Tree_Basal_Area,Total_ECM_Tree_BioMass,Total_ECM_Tree_Stem_Count,Total_ECM_Tree_Basal_Area,Total_AM_Tree_BioMass,Total_AM_Tree_Stem_Count,Total_AM_Tree_Basal_Area,ACRU_BIOMASS,ACRU_STEM_COUNT,ACRU_BASAL_AREA,ACSA_BIOMASS,ACSA_STEM_COUNT,ACSA_BASAL_AREA,BEPA_BIOMASS,BEPA_STEM_COUNT,BEPA_BASAL_AREA,FRAM_BIOMASS,FRAM_STEM_COUNT,FRAM_BASAL_AREA,FAGR_BIOMASS,FAGR_STEM_COUNT,FAGR_BASAL_AREA,BEAL_BIOMASS,BEAL_STEM_COUNT,BEAL_BASAL_AREA,PIRU_BIOMASS,PIRU_STEM_COUNT,PIRU_BASAL_AREA,POGR_BIOMASS,POGR_STEM_COUNT,POGR_BASAL_AREA,Soil.Temp.10.cm,Soil.Temp.5.cm,Soil.Moisture,Min.Soil5,Ave.Soil5,Min.Soil10,Ave.Soil10,Max.frost,Max.Snow,Mean.frost,Mean.snow,Frost.AUC,Snow.AUC,FTC.5,FTC.10,DWF,Thaw,Thaw.day,BL.Max.frost,BL.Max.Snow,BL.Mean.frost,BL.Mean.Snow,BL.AUC.frost,BL.AUC.Snow,Net_Ammonification_(_g_Ammonium-N_g_soil-1_days-1),Net_Mineralization (_g_N_g_soil-1_day-1),REL,Proteolytic_Rate,longitude.dd,latitude.dd,Soil_perc_N,Soil_perc_C,Soil_pH,mbn,acid_phosphatase,nag_ase,phenol_oxidase,peroxidase,beta_glucosidase,cello_biohydrolase,Respiration,Extractable_Organic_C,Amino_Acid_N,Dissolved_Inorganic_n,Water_Content,Photosynthesis,Respiration_pat,Change_Net_Mineralization,Change_Soil_perc_N,Change_Soil_perc_C,Change_Soil_pH,Change_Respiration_pat,Change_mbn
HBEF,CCASE,Soil_Mic_Commun,pre-treatment,11,Soil_11,Ga0599133,4,NA,Warmed,b,Organic,2013,130701,Overcast_humid_(~65%)_75__F,NA,R._Sanders-Demott_A.Lin-Schweitzer_P.Sorensen,DNA,NA,15218_sample_B9,103300,100_150000,4509,18,7974,1643,9,2124,2866,9,5850,2672,6,3990,95,2,162,0,0,0,99,1,1697,222,8,427,1420,1,1697,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.89,NA,NA,-71.70087667,43.94569833,0.929,23.011,4.28,382.31,,,,,,,,,,,,,20.88,,,,,,
HBEF,CCASE,Soil_Mic_Commun,pre-treatment,12,Soil_12,Ga0599133,4,NA,Warmed,c,Organic,2013,130701,Overcast_humid_(~65%)_75__F,NA,R._Sanders-Demott_A.Lin-Schweitzer_P.Sorensen,DNA,NA,15217_sample_A8,71158,50_80000,4509,18,7974,1643,9,2124,2866,9,5850,2672,6,3990,95,2,162,0,0,0,99,1,1697,222,8,427,1420,1,1697,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.64,NA,NA,-71.70087667,43.94569833,0.804,17.986,4.54,399.38,,,,,,,,,,,,,14.71,,,,,,
HBEF,CCASE,Soil_Mic_Commun,pre-treatment,7,Soil_7,Ga0599132,3,NA,Warmed,a,Organic,2013,130701,Overcast_humid_(~65%)_75__F,NA,R._Sanders-Demott_A.Lin-Schweitzer_P.Sorensen,DNA,NA,15218_sample_A12,49299,16_50000,2856,20,6358,576,11,3135,2280,9,3223,1688,7,2653,0,0,0,210,1,285,383,1,285,576,11,3135,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.98,NA,NA,-71.70080333,43.94557833,0.613,13.998,4.26,191.98,,,,,,,,,,,,,10.97,,,,,,
HBEF,CCASE,Soil_Mic_Commun,pre-treatment,8,Soil_8,Ga0599132,3,NA,Warmed,b,Organic,2013,130701,Overcast_humid_(~65%)_75__F,NA,R._Sanders-Demott_A.Lin-Schweitzer_P.Sorensen,DNA,NA,15218_sample_B2,165862,150_300000,2856,20,6358,576,11,3135,2280,9,3223,1688,7,2653,0,0,0,210,1,285,383,1,285,576,11,3135,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.47,NA,NA,-71.70080333,43.94557833,0.882,20.734,4,357.64,,,,,,,,,,,,,13.62,,,,,,
HBEF,CCASE,Soil_Mic_Commun,pre-treatment,34,Soil_34,Ga0599141,6,NA,Warmed_Freeze,a,Min,2013,130701,Overcast_humid_(~65%)_75__F,NA,R._Sanders-Demott_A.Lin-Schweitzer_P.Sorensen,NA,NA,15217_sample_A7,58414,50_80000,3137,16,4645,414,10,732,2723,6,3913,2263,4,3326,460,2,588,0,0,0,0,0,0,407,9,700,0,0,0,7,1,32,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.56,NA,NA,-71.70059833,43.945775,0.159,2.849,5.38,7.3,,,,,,,,,,,,,0.65,,,,,,
HBEF,CCASE,Soil_Mic_Commun,pre-treatment,13,Soil_13,Ga0599134,5,NA,Warmed_Freeze,a,Organic,2013,130701,Overcast_humid_(~65%)_75__F,NA,R._Sanders-Demott_A.Lin-Schweitzer_P.Sorensen,DNA,NA,15218_sample_B3,53373,50_80000,3304,18,5112,263,8,484,3041,10,4628,2981,8,4555,41,1,73,0,0,0,19,1,0,263,8,484,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.62,NA,NA,-71.70075667,43.94572833,0.497,10.1,4.56,181.61,,,,,,,,,,,,,6.89,,,,,,
HBEF,CCASE,Soil_Mic_Commun,pre-treatment,14,Soil_14,Ga0599134,5,NA,Warmed_Freeze,b,Organic,2013,130701,Overcast_humid_(~65%)_75__F,NA,R._Sanders-Demott_A.Lin-Schweitzer_P.Sorensen,DNA,NA,15218_sample_B4,81841,80_100000,3304,18,5112,263,8,484,3041,10,4628,2981,8,4555,41,1,73,0,0,0,19,1,0,263,8,484,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.3,NA,NA,-71.70075667,43.94572833,0.664,14.158,4.51,272.17,,,,,,,,,,,,,7.29,,,,,,
HBEF,CCASE,Soil_Mic_Commun,pre-treatment,15,Soil_15,Ga0599134,5,NA,Warmed_Freeze,c,Organic,2013,130701,Overcast_humid_(~65%)_75__F,NA,R._Sanders-Demott_A.Lin-Schweitzer_P.Sorensen,DNA,NA,15218_sample_B10,66101,50_80000,3304,18,5112,263,8,484,3041,10,4628,2981,8,4555,41,1,73,0,0,0,19,1,0,263,8,484,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93,NA,NA,-71.70075667,43.94572833,0.52,11.508,4.35,164.61,,,,,,,,,,,,,9.06,,,,,,
HBEF,CCASE,Soil_Mic_Commun,pre-treatment,16,Soil_16,Ga0599135,6,NA,Warmed_Freeze,a,Organic,2013,130701,Overcast_humid_(~65%)_75__F,NA,R._Sanders-Demott_A.Lin-Schweitzer_P.Sorensen,DNA,NA,15217_sample_A1,96758,80_100000,3137,16,4645,414,10,732,2723,6,3913,2263,4,3326,460,2,588,0,0,0,0,0,0,407,9,700,0,0,0,7,1,32,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,NA,NA,-71.70059833,43.945775,1.449,36.863,4.03,605.49,,,,,,,,,,,,,20.66,,,,,,
HBEF,CCASE,Soil_Mic_Commun,pre-treatment,17,Soil_17,Ga0599135,6,NA,Warmed_Freeze,b,Organic,2013,130701,Overcast_humid_(~65%)_75__F,NA,R._Sanders-Demott_A.Lin-Schweitzer_P.Sorensen,DNA,NA,NA,195774,150_300000,3137,16,4645,414,10,732,2723,6,3913,2263,4,3326,460,2,588,0,0,0,0,0,0,407,9,700,0,0,0,7,1,32,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.07,NA,NA,-71.70059833,43.945775,0.514,11.475,4.75,85.9,,,,,,,,,,,,,7.99,,,,,,
HBEF,CCASE,Soil_Mic_Commun,pre-treatment,18,Soil_18,Ga0599135,6,NA,Warmed_Freeze,c,Organic,2013,130701,Overcast_humid_(~65%)_75__F,NA,R._Sanders-Demott_A.Lin-Schweitzer_P.Sorensen,DNA,NA,15218_sample_B5,71299,50_80000,3137,16,4645,414,10,732,2723,6,3913,2263,4,3326,460,2,588,0,0,0,0,0,0,407,9,700,0,0,0,7,1,32,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-68.63,NA,NA,-71.70059833,43.945775,1.109,28.996,4.53,661.13,,,,,,,,,,,,,13.15,,,,,,
HBEF,CCASE,Soil_Mic_Commun,post-treatment,107,Soil_107,Ga0599142,1,11,Reference,1,Organic,2014,140512,Sunny_clear_75__F,Budburst,Rebecca_Sanders_Demott_Patrick_Sorensen,NA,NA,NA,118301,100_150000,3189.257578,20,4913.011094,842.2575784,14,1371.011094,2347,6,3542,2347,6,3542,0,0,0,0,0,0,0,0,0,814,13,1309,29,1,62,0,0,0,0,0,0,10.19,10.36,0.179,-0.2,0.31,0.01,0.47,8.2,68,4.8,29.8,710.7,4486.8,0,0,147,4/10/14,100,10.8,30,4.2,11,681.6,1974.7,2.686233564,2.686233564,12.73014465,119.2929381,-71.70193833,43.94523167,1,27.3,4.18,423.8,5.62,1.29,1.57,1.76,0.91,0.31,,0.53,431.77,13.66,2.047,,13.8,,,,,,
HBEF,CCASE,Soil_Mic_Commun,post-treatment,134,Soil_134,Ga0599142,1,11,Reference,1,Organic,2014,140521,Overcast_70_C,Full_leaf-out,Patrick_Sorensen_Maria_Garcia_Josh_Bennett,NA,NA,NA,206036,150_300000,3189.257578,20,4913.011094,842.2575784,14,1371.011094,2347,6,3542,2347,6,3542,0,0,0,0,0,0,0,0,0,814,13,1309,29,1,62,0,0,0,0,0,0,10.57,10.85,0.173,-0.2,0.31,0.01,0.47,8.2,68,4.8,29.8,710.7,4486.8,0,0,147,4/10/14,100,10.8,30,4.2,11,681.6,1974.7,NA,NA,12.73014465,305.9989355,-71.70193833,43.94523167,1.8,49.3,4.18,585.3,10.42,2.43,1.11,1.47,3.04,1.27,2.64,0.95,381.52,,3.369,,,,,,,,
HBEF,CCASE,Soil_Mic_Commun,post-treatment,161,Soil_161,Ga0599142,1,11,Reference,1,Organic,2014,140601,Sunny_humid,Post_leaf-out,Rebecca_Sanders_Demott,NA,NA,NA,100228,100_150000,3189.257578,20,4913.011094,842.2575784,14,1371.011094,2347,6,3542,2347,6,3542,0,0,0,0,0,0,0,0,0,814,13,1309,29,1,62,0,0,0,0,0,0,10.61,10.83,0.162,-0.2,0.31,0.01,0.47,8.2,68,4.8,29.8,710.7,4486.8,0,0,147,4/10/14,100,10.8,30,4.2,11,681.6,1974.7,0.679224134,0.679224134,12.73014465,29.63009501,-71.70193833,43.94523167,0.8,18,4.6,107.7,2.22,0.24,0.73,0.67,1.47,0.4,3.005,0.42,127.66,1.33,0.366,,4.5,,,,,,
HBEF,CCASE,Soil_Mic_Commun,post-treatment,188,Soil_188,Ga0599142,1,11,Reference,1,Organic,2014,140722,Sunny_humid,Peak_plant_biomass,Rebecca_Sanders_Demott_Risa_Mcnellis_Darien,NA,NA,NA,96655,80_100000,3189.257578,20,4913.011094,842.2575784,14,1371.011094,2347,6,3542,2347,6,3542,0,0,0,0,0,0,0,0,0,814,13,1309,29,1,62,0,0,0,0,0,0,17.14,17.67,0.143,-0.2,0.31,0.01,0.47,8.2,68,4.8,29.8,710.7,4486.8,0,0,147,4/10/14,100,10.8,30,4.2,11,681.6,1974.7,0.406905898,0.406905898,12.73014465,229.2358873,-71.70193833,43.94523167,1.8,52.3,4.18,478.1,9.31,1.52,0.28,0.65,2.34,0.48,8.352,0.79,170.54,54.19,2.505,6.2455,12.2,,,,,,
HBEF,CCASE,Soil_Mic_Commun,post-treatment,215,Soil_215,Ga0599142,1,11,Reference,1,Organic,2014,140924,NA,Beginning_of_senescence,NA,NA,NA,NA,90411,80_100000,3189.257578,20,4913.011094,842.2575784,14,1371.011094,2347,6,3542,2347,6,3542,0,0,0,0,0,0,0,0,0,814,13,1309,29,1,62,0,0,0,0,0,0,12.2,12.27,0.091,-0.2,0.31,0.01,0.47,8.2,68,4.8,29.8,710.7,4486.8,0,0,147,4/10/14,100,10.8,30,4.2,11,681.6,1974.7,-0.306878967,-0.306878967,12.73014465,133.5275744,-71.70193833,43.94523167,1.5,41.9,4.18,320.6,5.72,1.41,0.61,1.96,1,0.23,4.654,0.74,270.24,24.65,1.36,,10.3,,,,,,
HBEF,CCASE,Soil_Mic_Commun,post-treatment,80,Soil_80,Ga0599142,1,11,Reference,1,Organic,2014,140416,Windy_cloudy_35__F,Pre-budburst_post-snowmelt,Rebecca_Sanders_Demott_Patrick_Sorensen,NA,NA,NA,195578,150_300000,3189,20,4913,842,14,1371,2347,6,3542,2347,6,3542,0,0,0,0,0,0,0,0,0,814,13,1309,29,1,62,0,0,0,0,0,0,0.29,0.17,0.227,-0.2,0.31,0.01,0.47,8.2,68,4.8,29.8,710.7,4486.8,0,0,147,4/10/14,100,10.8,30,4.2,11,681.6,1974.7,0.012779568,0.01,12.73014465,103.5307919,-71.70193833,43.94523167,1.3,38.2,3.76,395.8,6.11,1.28,0.88,1.26,2.75,0.54,,0.66,278.21,7.3,1.689,,13.3,,,,,,
HBEF,CCASE,Soil_Mic_Commun,post-treatment,108,Soil_108,Ga0599142,1,12,Reference,2,Organic,2014,140512,Sunny_clear_75__F,Budburst,Rebecca_Sanders_Demott_Patrick_Sorensen,NA,NA,NA,289670,150_300000,3189.257578,20,4913.011094,842.2575784,14,1371.011094,2347,6,3542,2347,6,3542,0,0,0,0,0,0,0,0,0,814,13,1309,29,1,62,0,0,0,0,0,0,10.19,10.36,0.179,-0.2,0.31,0.01,0.47,10,68,5.5,26.3,810.5,3998.7,0,0,147,4/10/14,100,16.4,22,4.3,9.4,791.3,1648.7,3.47569532,3.47569532,23.7906395,180.9321758,-71.70192333,43.94527333,1.5,43.6,3.71,582.3,7.81,1.42,1.79,2.58,1.33,0.43,,0.49,225.74,5.06,2.107,,12.1,,,,,,
HBEF,CCASE,Soil_Mic_Commun,post-treatment,135,Soil_135,Ga0599142,1,12,Reference,2,Organic,2014,140521,Overcast_70_C,Full_leaf-out,Patrick_Sorensen_Maria_Garcia_Josh_Bennett,NA,NA,NA,133047,100_150000,3189.257578,20,4913.011094,842.2575784,14,1371.011094,2347,6,3542,2347,6,3542,0,0,0,0,0,0,0,0,0,814,13,1309,29,1,62,0,0,0,0,0,0,10.57,10.85,0.173,-0.2,0.31,0.01,0.47,10,68,5.5,26.3,810.5,3998.7,0,0,147,4/10/14,100,16.4,22,4.3,9.4,791.3,1648.7,NA,NA,23.7906395,106.7921704,-71.70192333,43.94527333,0.8,23.9,3.71,319.6,4.16,0.34,0.97,3.24,0.57,0.16,2.64,0.27,140.58,,1.418,,,,,,,,
HBEF,CCASE,Soil_Mic_Commun,post-treatment,189,Soil_189,Ga0599142,1,12,Reference,2,Organic,2014,140722,Sunny_humid,Peak_plant_biomass,Rebecca_Sanders_Demott_Risa_Mcnellis_Darien,NA,NA,NA,105465,100_150000,3189.257578,20,4913.011094,842.2575784,14,1371.011094,2347,6,3542,2347,6,3542,0,0,0,0,0,0,0,0,0,814,13,1309,29,1,62,0,0,0,0,0,0,17.14,17.67,0.143,-0.2,0.31,0.01,0.47,10,68,5.5,26.3,810.5,3998.7,0,0,147,4/10/14,100,16.4,22,4.3,9.4,791.3,1648.7,0.651021937,0.651021937,23.7906395,152.300745,-71.70192333,43.94527333,1.6,47.6,3.71,356.4,7.83,1.34,0.29,0.72,1.05,0.37,8.352,0.71,152.65,30.44,2.121,6.2455,11.9,,,,,,
HBEF,CCASE,Soil_Mic_Commun,post-treatment,216,Soil_216,Ga0599142,1,12,Reference,2,Organic,2014,140924,NA,Beginning_of_senescence,NA,NA,NA,NA,50778,50_80000,3189.257578,20,4913.011094,842.2575784,14,1371.011094,2347,6,3542,2347,6,3542,0,0,0,0,0,0,0,0,0,814,13,1309,29,1,62,0,0,0,0,0,0,12.2,12.27,0.091,-0.2,0.31,0.01,0.47,10,68,5.5,26.3,810.5,3998.7,0,0,147,4/10/14,100,16.4,22,4.3,9.4,791.3,1648.7,-0.231452167,-0.231452167,23.7906395,141.6671768,-71.70192333,43.94527333,1.3,36.9,3.71,273.9,11.92,0.77,0.42,0.82,1.27,0.55,4.654,0.8,290.87,14.44,0.94,,6.3,,,,,,
