"","ASV_ID","portal_id","perc_id","alignment_length","mismatches","gap_opens","q_start","q_end","s_start","s_end","eval","bit_score"
"736",256,"Claim1",86.42,162,16,6,1,157,363,523,6.76e-45,172
"743",278,"Clasph1",84.685,111,10,7,1,108,321,427,2.04e-24,104
"744",283,"Theglo1",82.353,153,26,1,1,152,323,475,2.74e-33,134
"745",289,"Venin1",87.5,136,15,2,4,137,342,477,5.65e-40,156
"746",295,"Hyafin1",98.039,153,2,1,1,153,417,568,8.93e-73,265
"748",301,"Artesp1",88.333,120,13,1,1,119,339,458,4.66e-36,143
"749",303,"Amore1",84.967,153,17,6,1,150,422,571,2.55e-38,150
"750",305,"Claim1",87.117,163,14,7,1,158,363,523,1.49e-46,178
"757",310,"Hyafin1",86.538,156,15,6,1,154,417,568,2.61e-43,167
"759",317,"Melbi2",89.61,154,16,0,1,154,322,475,3.33e-52,196
"760",317,"Hyafin1",89.61,154,14,2,1,154,417,568,1.2e-51,195
"761",321,"Theglo1",86.076,158,20,2,1,156,323,480,7.36e-44,169
"762",322,"Melbi2",90.909,154,12,2,1,152,322,475,5.45e-55,206
"764",331,"Melbi2",99.351,154,0,1,1,153,322,475,1.15e-76,278
"766",335,"Hyafin1",91.597,119,8,2,1,117,417,535,3.23e-42,163
"767",342,"Chafi1",87.248,149,12,6,1,145,331,476,3.57e-42,163
"768",347,"Mereb1",85.714,196,18,7,1,187,389,583,1.33e-52,198
"769",348,"Pilidi1",88.623,167,13,4,1,161,368,534,1.01e-52,198
"772",349,"Aspoer1",96.753,154,1,4,1,151,424,576,2.25e-69,254
"1007",354,"Claim1",88.272,162,13,6,1,157,363,523,6.72e-50,189
"1014",357,"Chafi1",87.248,149,12,6,1,145,331,476,3.57e-42,163
"1016",366,"Fusavent1",86.624,157,11,6,1,151,337,489,1.08e-42,165
"1018",368,"Cucbe1",81.977,172,16,11,1,163,311,476,1.01e-32,132
"1020",371,"Hyafin1",85.816,141,17,3,1,140,417,555,3.4e-37,147
"1022",372,"Melbi2",80.255,157,26,5,1,155,322,475,3.47e-27,113
"1024",377,"Claim1",85.789,190,18,9,1,183,363,550,5.22e-51,193
"1026",380,"Hyafin1",88.406,138,14,2,1,137,417,553,9.25e-43,165
"1028",384,"Ocuya1",85.535,159,17,6,1,155,426,582,1.22e-41,161
"1029",386,"Ilyrob1",97.093,172,5,0,1,172,389,560,1.68e-80,291
"1033",397,"Psever1",90.566,159,10,5,1,154,339,497,5.53e-55,206
"1034",414,"Ganleu1",92.271,207,10,6,1,204,357,560,7.3e-80,289
"1035",417,"Penatra1",98.837,172,1,1,1,171,339,510,5.96e-85,305
"1036",417,"Penra1",98.837,172,1,1,1,171,356,527,5.96e-85,305
"1273",420,"Hyafin1",83.439,157,17,9,1,153,417,568,2.03e-34,137
"1275",424,"Fusavent1",87.742,155,11,6,1,149,337,489,1.78e-45,174
"1277",426,"Theglo1",81.366,161,23,7,1,157,323,480,4.53e-31,126
"1278",427,"Fusnyg1",88.701,177,13,7,1,175,331,502,4.94e-56,209
"1280",428,"Amore1",90,150,14,1,1,149,422,571,4.15e-51,193
"1282",431,"Hyafin1",90.435,115,9,2,1,114,417,530,2.61e-38,150
"1284",437,"Claim1",84.103,195,17,12,1,188,363,550,5.42e-46,176
"1285",443,"Tricr1",100,177,0,0,1,177,408,584,1.32e-91,327
"1344",445,"Venin1",82.639,144,18,6,1,141,340,479,2.23e-29,121
"1345",458,"Extant1",88.235,153,15,3,1,151,305,456,3.28e-47,180
"1346",459,"Cucbe1",81.148,122,17,5,1,117,311,431,4.66e-21,93.5
"1347",465,"Ganleu1",97.561,205,4,1,1,205,357,560,3.32e-98,350
"1348",475,"Theglo1",81.646,158,23,4,1,152,323,480,4.36e-31,126
"1350",479,"Crafun1",83.962,212,23,6,1,202,448,658,6.2e-51,193
"1351",483,"Plucer1",95.876,194,8,0,1,194,440,633,1.14e-87,315
"1352",484,"Psever1",78.992,119,14,7,1,114,339,451,2.15e-14,71.3
"1353",487,"Mereb1",81.188,202,21,10,1,188,389,587,4.85e-37,147
"1354",490,"Amore1",84.967,153,18,5,1,151,422,571,2.57e-38,150
"1355",501,"Hyafin1",88.793,116,10,3,1,115,417,530,5.69e-35,139
"1357",510,"Tribre1",97.714,175,2,2,1,173,350,524,2.81e-83,300
"1358",510,"Tribrev1",97.714,175,2,2,1,173,350,524,2.81e-83,300
"1416",516,"Trispi1_2",99.432,176,1,0,1,176,405,580,2.2e-89,320
"1475",531,"Asphai1",88.158,152,11,7,1,151,303,448,1.83e-45,174
"1687",533,"Aspfu_P4SB_1",97.403,154,3,1,1,154,438,590,1.33e-71,261
"1924",534,"Amore1",89.781,137,12,2,1,136,422,557,1.51e-45,174
"1925",545,"Amore1",85.256,156,15,8,1,154,422,571,2.03e-39,154
"1926",553,"Melbi2",91.613,155,11,2,1,154,322,475,3.3e-57,213
"1928",555,"Psever1",80.263,152,21,9,1,148,339,485,5.98e-25,106
"1929",568,"Theglo1",85.443,158,21,2,1,156,323,480,9.52e-43,165
"1930",569,"Claim1",83.333,162,21,6,1,157,363,523,1.48e-36,145
"1937",570,"Claim1",78.351,194,24,11,1,182,363,550,5.38e-26,110
"1938",572,"Melbi2",90.909,154,12,2,1,152,322,475,5.45e-55,206
"1940",574,"Claim1",86.631,187,18,7,1,183,363,546,3.22e-53,200
"1948",584,"Hyafin1",83.621,116,15,4,1,114,417,530,5.77e-25,106
"1949",585,"Trichl1",95.745,188,3,3,1,188,376,558,1.11e-82,298
"2007",599,"Acema1",92.857,154,9,2,1,153,431,583,5.45e-60,222
"2008",607,"Diahe1",80,115,11,12,1,105,367,479,1.57e-15,75
"2009",612,"Acema1",90.85,153,14,0,1,153,431,583,5.49e-55,206
"2010",622,"Venin1",96.377,138,4,1,1,137,340,477,4.28e-61,226
"2011",626,"Ganleu1",91.787,207,10,6,1,203,357,560,1.22e-77,281
"2012",627,"Trifer1",99.429,175,1,0,1,175,344,518,7.86e-89,318
"2068",631,"Psever1",88.112,143,12,5,1,140,339,479,9.45e-43,165
"2070",644,"Exoalc1",88.304,171,17,3,1,171,362,529,9.42e-54,202
"2071",644,"Exoalc1_J33",88.304,171,17,3,1,171,362,529,9.42e-54,202
"2078",647,"Aplpr1",78.195,133,14,7,1,118,359,491,2.09e-14,71.3
"2079",648,"Melbi2",98.052,154,3,0,1,154,322,475,6.95e-74,268
"2081",649,"Pbre18316_1",85.156,128,7,7,1,121,326,448,2.33e-29,121
"2082",649,"Penbr2",85.156,128,7,7,1,121,326,448,2.33e-29,121
"2083",649,"PenbrAgRF18_1",85.156,128,7,7,1,121,326,448,2.33e-29,121
"2084",669,"Psever1",81.897,116,10,7,1,111,339,448,2.14e-19,87.9
"2085",674,"Pilidi1",95.349,172,8,0,1,172,368,539,1.69e-75,274
"2086",680,"Pencit1",95.977,174,2,5,1,173,338,507,1.32e-76,278
"2302",692,"Aspsub1",89.831,118,10,2,1,116,337,454,2.82e-38,150
"2303",692,"Aspsubr1",89.831,118,10,2,1,116,347,464,2.82e-38,150
"2304",692,"Aspele1",89.831,118,10,2,1,116,366,483,2.82e-38,150
"2400",699,"Melbi2",92.143,140,10,1,1,140,322,460,3.3e-52,196
"2402",703,"Psever1",98.113,159,0,3,1,156,339,497,1.52e-75,274
"2403",705,"Aspros1",86.614,127,14,3,1,125,320,445,2.35e-34,137
"2426",707,"Hyafin1",95.425,153,6,1,1,153,417,568,4.18e-66,243
"2428",712,"Clasph1",94.34,159,8,1,1,158,321,479,4.34e-66,243
"2435",731,"Exosi1",87.838,148,11,6,1,146,350,492,3.43e-43,167
"2438",762,"Lipstar1_1",98.429,191,3,0,1,191,283,473,2.39e-94,337
"2439",762,"Lst7536_1",98.429,191,3,0,1,191,283,473,2.39e-94,337
"2440",762,"Lipsta1_1",98.429,191,3,0,1,191,283,473,2.39e-94,337
"2441",762,"Lst8064_1",98.429,191,3,0,1,191,283,473,2.39e-94,337
"2442",762,"Lst7851_1",98.429,191,3,0,1,191,283,473,2.39e-94,337
"2443",762,"Lipstark1_1",98.429,191,3,0,1,191,283,473,2.39e-94,337
"2454",764,"Melbi2",89.103,156,11,6,1,152,322,475,5.49e-50,189
"2459",768,"Claim1",89.375,160,12,5,1,159,363,518,4.14e-52,196
"2466",784,"Theglo1",86.164,159,19,3,1,157,323,480,7.42e-44,169
"2468",809,"Hyafin1",86.957,138,15,3,4,140,419,554,7.41e-39,152
"2470",826,"Asprobu1",88.806,134,9,4,1,130,331,462,4.69e-41,159
"2471",826,"Asptan1",88.806,134,9,4,1,130,353,484,4.69e-41,159
"2670",833,"Darbet1",93.548,155,7,3,1,154,379,531,1.28e-61,228
"2676",846,"Hyafin1",85.106,141,18,3,1,140,417,555,1.58e-35,141
"2678",856,"Plucer1",100,194,0,0,1,194,440,633,5.19e-101,359
"2681",866,"Exoalc1",86,150,10,8,1,144,362,506,3.3e-38,150
"2682",866,"Exoalc1_J33",86,150,10,8,1,144,362,506,3.3e-38,150
"2687",867,"Penci1",94.156,154,9,0,1,154,304,457,8.14e-64,235
"2923",880,"Hyafin1",95.69,116,3,2,1,116,417,530,7.36e-49,185
"2924",887,"Claim1",87.805,164,12,8,1,159,363,523,8.85e-49,185
"2932",890,"Hyafin1",96.522,115,3,1,1,115,417,530,5.61e-50,189
"2933",897,"Colin1",95.181,166,5,3,1,164,348,512,4.49e-71,259
"2956",906,"Mereb1",88.71,124,8,5,25,143,465,587,3.72e-37,147
"2957",927,"Babin1",82.759,203,18,12,1,192,371,567,1.3e-42,165
"2959",936,"Umban1",94.964,139,6,1,1,139,344,481,2.35e-58,217
"2960",943,"Psever1",80.672,119,12,7,1,114,339,451,9.94e-18,82.4
"2961",948,"Favcal1_2",79.825,228,25,16,1,214,473,693,4.9e-37,147
"2962",952,"Rhyag1",81.013,158,21,8,1,150,486,642,2.59e-28,117
"2963",954,"Acema1",88.489,139,13,3,1,138,431,567,9.39e-43,165
"2969",967,"Exoxe1",88.356,146,12,4,1,146,351,491,2.7e-44,171
"2971",971,"Fusnyg1",90.173,173,15,2,1,172,331,502,1.73e-60,224
"2973",974,"Favcal1_2",82.036,167,11,14,1,154,473,633,2.28e-30,124
"2975",976,"Artesp1",80.488,123,15,5,1,122,339,453,8.57e-19,86.1
"2976",977,"Chafi1",85.455,165,17,6,1,161,331,492,9.87e-43,165
"2977",979,"Botdo1_1",80.342,117,16,6,1,110,346,462,9.58e-18,82.4
"2980",980,"Melbi2",92.949,156,9,2,1,156,322,475,4.31e-61,226
"2982",1003,"NsAZ0576_1",99.422,173,1,0,1,173,294,466,1e-87,315
"2983",1003,"NsCB679_1",99.422,173,1,0,1,173,294,466,1e-87,315
"2984",1003,"NsAK0226_1",99.422,173,1,0,1,173,294,466,1e-87,315
"2986",1014,"Apibac1",85.093,161,16,8,1,158,314,469,1.7e-40,158
"2987",1015,"Mereb1",81.218,197,23,7,1,185,389,583,4.85e-37,147
"2988",1017,"Metbr1",81.347,193,19,13,9,200,306,482,2.12e-35,141
"2989",1017,"Metgui1",81.347,193,19,13,9,200,306,482,2.12e-35,141
"2990",1022,"Claim1",82.812,192,20,12,1,183,363,550,5.3e-41,159
"2991",1025,"Ilyrob1",80,180,26,9,1,178,389,560,1.87e-30,124
"2992",1025,"Neobo1",80,175,26,8,1,172,349,517,2.42e-29,121
"2995",1041,"Purli1",97.059,170,2,3,1,167,374,543,2.72e-78,283
"2997",1048,"Tripra1",80.982,163,25,6,1,160,385,544,1.78e-30,124
"2998",1052,"Hyafin1",87.097,155,16,4,1,154,417,568,5.61e-45,172
"3000",1058,"Psever1",80.172,116,18,3,1,116,339,449,1.02e-17,82.4
"3001",1080,"Theglo1",79.874,159,25,5,1,153,323,480,1.23e-26,111
"3002",1085,"Triafa1",99.451,182,0,1,1,182,360,540,3.79e-92,329
"3003",1085,"Tricam1",99.451,182,0,1,1,182,359,539,3.79e-92,329
"3060",1088,"OphpiCECT20416_2",83.978,181,17,7,1,170,356,535,4.47e-42,163
"3061",1089,"Melbi2",90,150,9,5,1,147,322,468,5.61e-50,189
"3063",1106,"Exosi1",83.448,145,13,4,1,143,350,485,2.13e-30,124
"3064",1108,"Theglo1",82.468,154,22,5,1,150,323,475,3.5e-32,130
"3066",1116,"Rhyag1",87.261,157,19,1,1,156,486,642,1.22e-46,178
"3068",1120,"Fonmo1",85.294,170,13,7,1,158,367,536,1.17e-42,165
"3069",1125,"Claim1",86.42,162,16,6,1,157,363,523,6.85e-45,172
"3076",1126,"Plucer1",96.41,195,6,1,1,195,440,633,2.46e-89,320
"3077",1128,"Fusnyg1",89.143,175,14,5,1,173,331,502,3.77e-57,213
"3079",1129,"Venin1",97.163,141,3,1,1,140,340,480,2.02e-64,237
"3080",1135,"Asprobu1",83.942,137,12,8,1,132,331,462,6.49e-30,122
"3117",1142,"Hyafin1",85.366,123,8,4,1,122,417,530,7.85e-29,119
"3120",1144,"Fusavent1",83.333,180,21,7,1,174,337,513,1.8e-40,158
"3123",1149,"Tolinf1",91.124,169,7,5,1,169,320,480,6.1e-60,222
"3124",1153,"Claim1",85.185,162,18,6,1,157,363,523,1.46e-41,161
"3131",1159,"Acema1",92.857,154,9,2,1,153,431,583,5.45e-60,222
"3132",1179,"Mereb1",81.538,195,22,7,1,183,389,581,1.35e-37,148
"3133",1195,"Trigha1",91.005,189,10,4,1,188,421,603,1.13e-67,248
"3189",1196,"Melbi2",91.72,157,9,3,1,156,322,475,9.32e-58,215
"3191",1200,"Melbi2",91.772,158,7,5,1,156,322,475,9.32e-58,215
"3193",1205,"Crafun1",81.675,191,22,11,30,211,490,676,4.82e-37,147
"3195",1206,"Hyafin1",92.105,114,7,2,1,112,417,530,4.27e-41,159
"3196",1208,"OphpiCECT20416_2",84.53,181,15,8,1,169,356,535,3.36e-43,167
"3197",1210,"Exosi1",86.42,162,17,5,1,159,350,509,7.96e-45,172
"3203",1213,"Dacma1",90.361,166,13,3,1,165,291,454,1.03e-57,215
"3208",1219,"Apibac1",82.738,168,17,12,1,163,314,474,6.07e-35,139
"3209",1228,"Trimi1",97.727,176,2,2,1,175,375,549,7.92e-84,302
"3267",1236,"Diaam1",85.542,166,21,3,1,164,304,468,2.24e-44,171
"3269",1238,"Lacpse1",85.926,135,9,2,1,125,391,525,4.61e-35,139
"3270",1242,"Triham1",98.333,180,3,0,1,180,391,570,2.92e-88,316
"3327",1244,"Melbi2",89.333,150,10,4,1,147,322,468,2.61e-48,183
"3329",1252,"Claim1",84.817,191,16,11,1,181,363,550,4.02e-47,180
"3330",1256,"Bimnz1",90.244,164,14,1,1,162,366,529,3.5e-57,213
"3337",1259,"Melbi2",86.331,139,16,3,1,138,322,458,9.38e-38,148
"3339",1273,"Claim1",86.42,162,16,6,1,157,363,523,6.89e-45,172
"3346",1276,"Melbi2",89.677,155,15,1,1,155,322,475,3.35e-52,196
"3348",1280,"Crafun1",82.174,230,24,10,1,214,448,676,1.34e-47,182
"3350",1281,"Hyafin1",91.304,115,8,2,1,114,417,530,5.57e-40,156
"3351",1287,"Ocuya1",81.595,163,16,13,1,155,426,582,5.77e-30,122
"3352",1293,"Macan1",99.39,164,1,0,1,164,298,461,9.52e-83,298
"3355",1294,"Melbi2",90.728,151,8,5,1,149,322,468,3.4e-52,196
"3357",1299,"Chale1",93.252,163,8,3,1,160,462,624,2.05e-64,237
"3358",1299,"Chafi1",93.252,163,7,3,1,160,331,492,2.05e-64,237
"3365",1305,"Melbi2",92.857,140,7,3,1,138,322,460,2.52e-53,200
"3368",1307,"Theglo1",86.726,113,14,1,1,112,323,435,1.65e-30,124
"3369",1309,"Psever1",84.956,113,15,2,1,113,339,449,3.57e-27,113
"3370",1311,"Ganleu1",87.64,178,15,6,1,173,357,532,3.44e-53,200
"3372",1316,"Hyafin1",91.156,147,11,2,1,147,417,561,9.46e-53,198
"3373",1321,"Xylbam139988_1",89.286,168,15,3,1,166,364,530,1.67e-55,207
"3375",1326,"Melbi2",79.747,158,24,7,1,154,322,475,1.6e-25,108
"3379",1327,"Fonmo1",84.706,170,13,8,1,157,367,536,1.94e-40,158
"3380",1344,"Melbi2",95.455,154,6,1,1,153,322,475,1.16e-66,244
"3383",1361,"Hyafin1",91.304,115,8,2,1,114,417,530,5.61e-40,156
"3385",1371,"Tripra1",81.503,173,21,11,1,166,385,553,1.04e-32,132
"3386",1372,"Trimi1",97.727,176,3,1,1,176,375,549,7.97e-84,302
"3444",1374,"Hyafin1",78.75,160,21,10,1,155,417,568,1.26e-21,95.3
"3445",1384,"Claim1",87.363,182,16,7,1,178,363,541,8.84e-54,202
"3452",1391,"Racan1",83.036,112,14,3,1,108,327,437,3.5e-22,97.1
"3453",1395,"Trias1",99.422,173,1,0,1,173,337,509,1.06e-87,315
"3454",1395,"Triasper1",99.422,173,1,0,1,173,337,509,1.06e-87,315
"3511",1401,"Melbi2",92.715,151,9,2,4,154,327,475,2.55e-58,217
"3515",1405,"Claim1",86.957,138,12,6,1,135,363,497,3.11e-38,150
"3518",1407,"Melbi2",91.613,155,9,4,1,152,322,475,1.17e-56,211
"3521",1417,"Amore1",89.404,151,13,3,1,149,422,571,1.93e-49,187
"3522",1423,"Theglo1",83.66,153,23,2,1,151,323,475,1.26e-36,145
"3523",1430,"Triaus1",96.774,186,6,0,1,186,351,536,1.41e-86,311
"3572",1437,"TriatSC1_1",98.919,185,2,0,1,185,370,554,1.07e-92,331
"3573",1437,"Triatro1",98.919,185,2,0,1,185,370,554,1.07e-92,331
"3574",1437,"Triatrov1",98.919,185,2,0,1,185,370,554,1.07e-92,331
"3575",1437,"Triatr1",98.919,185,2,0,1,185,370,554,1.07e-92,331
"3630",1438,"Dacma1",100,164,0,0,1,164,291,454,2.13e-84,303
"3634",1449,"Tripare1",85.938,192,14,8,1,190,370,550,5.45e-51,193
"3675",1458,"Purli1",93.21,162,7,4,1,159,374,534,7.78e-64,235
"3677",1471,"Acema1",93.548,155,7,3,1,154,431,583,1.18e-61,228
"3678",1476,"Melbi2",86.076,158,14,7,1,154,322,475,3.38e-42,163
"3679",1479,"Cucbe1",79.755,163,21,8,1,155,311,469,1.71e-25,108
"3680",1485,"Melbi2",90.968,155,11,3,1,153,322,475,5.49e-55,206
"3682",1492,"Acema1",92.903,155,8,3,1,154,431,583,5.49e-60,222
"3683",1498,"Favcal1_2",84.431,167,7,13,1,154,473,633,4.87e-37,147
"3684",1508,"Trinov1",84.868,152,17,6,1,148,387,536,1.09e-37,148
"3689",1514,"Melbi2",89.262,149,12,4,1,147,322,468,2.61e-48,183
"3690",1519,"Melbi2",89.677,155,14,2,1,154,322,475,3.33e-52,196
"3692",1522,"Melbi2",89.116,147,12,4,1,145,322,466,3.35e-47,180
"3693",1523,"Melbi2",92.857,154,9,2,1,152,322,475,5.41e-60,222
"3695",1528,"Claim1",85.802,162,17,6,1,157,363,523,3.17e-43,167
"3702",1533,"Claim1",88.69,168,9,8,1,165,363,523,4.31e-52,196
"3709",1535,"Tripra1",80.233,172,27,7,1,168,385,553,6.32e-30,122
"3710",1542,"Hyafin1",97.386,153,3,1,1,153,417,568,4.15e-71,259
"3712",1543,"Paront1",97.024,168,3,2,1,166,324,491,9.72e-78,281
"3714",1558,"Talat1",84.328,134,18,3,1,133,304,435,1.4e-31,128
"3841",1562,"Trichl1",80.625,160,16,12,1,147,376,533,5.05e-26,110
"3843",1574,"Melbi2",88.079,151,10,7,1,147,322,468,5.65e-45,172
"3845",1591,"Melbi2",89.404,151,9,6,1,148,322,468,2.63e-48,183
"3847",1594,"Melbi2",78.344,157,28,6,1,154,322,475,3.47e-22,97.1
"3848",1594,"Hyafin1",78.344,157,26,8,1,154,417,568,1.25e-21,95.3
"3849",1600,"Hyafin1",85.621,153,17,5,1,149,417,568,5.44e-40,156
"3852",1603,"Clasph1",85.586,111,9,7,1,108,321,427,4.39e-26,110
"3854",1605,"Melbi2",89.404,151,10,5,1,149,322,468,7.36e-49,185
"3856",1607,"Tappo1",78.534,191,24,11,32,208,406,593,6.23e-26,110
"3857",1616,"Psever1",76.667,150,30,5,1,148,339,485,1.3e-16,78.7
"3858",1618,"Melbi2",88.608,158,13,5,1,157,322,475,2.05e-49,187
"3859",1621,"Trimi1",94.35,177,7,3,1,176,375,549,8.08e-74,268
"3906",1623,"Chale1",96.933,163,3,2,1,161,462,624,5.65e-75,272
"3918",1626,"Favcal1_2",79.476,229,20,21,1,210,473,693,2.89e-34,137
"3919",1641,"Melbi2",96.104,154,5,1,1,153,322,475,2.5e-68,250
"3923",1642,"Fonmo1",88.304,171,7,11,1,160,367,535,5.48e-51,193
"3928",1643,"Bimnz1",90.345,145,10,3,1,144,366,507,2.15e-49,187
"3932",1644,"Amore1",83.66,153,20,5,1,151,422,571,5.56e-35,139
"3933",1654,"Melbi2",93.548,155,8,2,1,154,322,475,3.28e-62,230
"3936",1656,"Crafun1",80.714,140,16,5,3,132,538,676,8.18e-23,99
"3937",1658,"Crafun1",77.907,172,28,8,28,192,490,658,1.34e-22,99
"3938",1661,"Melbi2",92.308,156,8,4,1,154,322,475,7.1e-59,219
"3940",1671,"Ocuya1",93.631,157,10,0,1,157,426,582,7.21e-64,235
"3942",1675,"Gelte1",100,160,0,0,1,160,380,539,3.33e-82,296
"3943",1680,"Psever1",81.046,153,21,7,1,147,339,489,9.73e-28,115
"3945",1690,"Melbi2",86.364,110,10,4,1,108,322,428,9.66e-28,115
"3946",1692,"Parsa1",85.567,97,7,4,1,90,361,457,8.92e-22,95.3
"3947",1703,"Fusnyg1",90.173,173,15,2,1,172,331,502,1.73e-60,224
"3949",1709,"Theglo1",84.375,160,20,5,1,157,323,480,7.47e-39,152
"3951",1715,"Acema1",91.503,153,12,1,1,152,431,583,4.21e-56,209
"3952",1725,"Neobo1",90.857,175,12,4,1,172,349,522,1.03e-62,231
"3956",1729,"MohoAD009_1",100,108,0,0,1,108,459,566,1.72e-53,200
"3957",1729,"MohoCK413_1",100,108,0,0,1,108,459,566,1.72e-53,200
"3958",1729,"MoclKOD947_1",100,108,0,0,1,108,458,565,1.72e-53,200
"3959",1729,"MoclAM1000_1",100,108,0,0,1,108,458,565,1.72e-53,200
"3966",1755,"Pbia18534_1",100,170,0,0,1,170,426,595,9.84e-88,315
"4137",1756,"Melbi2",90.604,149,10,4,1,147,322,468,1.21e-51,195
"4139",1758,"Favcal1_2",77.586,232,23,14,1,214,473,693,4.97e-27,113
"4141",1762,"Hyafin1",95.652,115,4,1,1,115,417,530,2.59e-48,183
"4142",1768,"Trimi1",98.864,176,1,1,1,176,375,549,3.68e-87,313
"4201",1769,"Dipse1",77.236,123,14,14,1,113,358,476,4.69e-11,60.2
"4202",1772,"Clasph1",81.25,112,13,6,1,109,321,427,2.66e-18,84.2
"4203",1773,"Triei1",96.196,184,4,3,1,184,367,547,1.08e-82,298
"4232",1776,"Melbi2",92.466,146,9,2,1,144,322,467,1.5e-55,207
"4234",1781,"Melbi2",88.535,157,13,5,1,155,322,475,7.26e-49,185
"4237",1783,"Hyafin1",89.61,154,13,3,1,153,417,568,4.27e-51,193
"4239",1787,"NsAZ0576_1",87.578,161,17,3,1,161,294,451,3.01e-48,183
"4240",1787,"NsCB679_1",87.578,161,17,3,1,161,294,451,3.01e-48,183
"4241",1787,"NsAK0226_1",87.578,161,17,3,1,161,294,451,3.01e-48,183
"4242",1795,"Tolinf1",98.16,163,1,2,1,163,320,480,2.65e-78,283
"4244",1801,"MogaNVP60_1",95.294,170,4,2,25,191,377,545,3.6e-73,267
"4245",1801,"Morgam1",95.294,170,4,2,25,191,377,545,3.6e-73,267
"4246",1801,"MogaAD045_1",95.294,170,4,2,25,191,377,545,3.6e-73,267
"4251",1802,"Melbi2",92.949,156,8,2,1,155,322,475,1.54e-60,224
"4254",1810,"Hyafin1",89.565,115,9,3,1,113,417,530,4.33e-36,143
"4256",1813,"Hyafin1",94.805,154,6,1,1,154,417,568,5.45e-65,239
